generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,32.580002,11.580000,0.238342,0.145407,0.408200
500,27.459999,12.300000,0.123577,0.123105,0.473817
1000,29.840000,12.940000,0.071097,0.100998,0.515527
1500,42.480000,12.280000,0.035831,0.103967,0.494586
2000,34.639999,12.700000,0.018898,0.099607,0.515712
2500,30.200001,12.440000,0.006431,0.103448,0.499734
3000,37.660000,12.400000,0.003226,0.096329,0.503372
3500,30.139999,12.020000,0.000000,0.096772,0.489895
4000,38.000000,11.720000,0.000000,0.113027,0.482949
4500,31.240000,12.180000,0.000000,0.102796,0.482481
5000,44.980000,12.120000,0.000000,0.100185,0.497677
