generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,35.320000,11.940000,0.244556,0.135887,0.418065
500,45.140000,13.400000,0.134328,0.108847,0.506882
1000,40.060000,13.060000,0.088821,0.107752,0.503520
1500,41.540000,12.660000,0.050553,0.107237,0.502888
2000,34.880000,12.360000,0.025890,0.117832,0.499555
2500,40.160000,13.020000,0.009217,0.100437,0.524991
3000,38.680000,12.960000,0.006173,0.089886,0.525610
3500,40.580000,12.920000,0.003096,0.096331,0.521200
4000,43.760000,11.880000,0.003367,0.104866,0.482147
4500,44.920000,11.920000,0.000000,0.109259,0.481249
5000,40.400000,12.060000,0.000000,0.109246,0.492395
