generation,prev_avg_utility,avg_utility,avg_degree
0,40.920000,40.920000,11.940000
1,30.600000,38.980000,11.940000
2,35.320000,43.960000,11.920000
3,25.440000,39.300000,11.960000
4,35.820000,38.120000,11.920000
5,40.320000,40.320000,11.920000
6,39.520000,39.520000,11.920000
7,41.220000,46.860000,11.940000
8,41.520000,41.520000,11.940000
9,44.580000,44.580000,11.940000
10,37.860000,46.840000,11.960000
11,33.680000,38.720000,11.960000
12,44.380000,44.380000,11.960000
13,36.860000,38.260000,11.960000
14,41.480000,41.480000,11.960000
15,39.580000,39.580000,11.960000
16,42.360000,42.360000,11.960000
17,35.400000,36.800000,11.940000
18,37.480000,39.220000,11.940000
19,42.660000,42.660000,11.940000
20,33.880000,37.640000,11.920000
21,41.440000,41.440000,11.920000
22,39.140000,39.140000,11.920000
23,35.680000,36.500000,11.900000
24,37.800000,45.240000,11.860000
25,38.920000,39.820000,11.860000
26,40.900000,40.900000,11.860000
27,39.260000,39.260000,11.860000
28,33.380000,40.680000,11.880000
29,37.840000,38.060000,11.840000
30,42.560000,42.560000,11.840000
31,37.380000,45.860000,11.820000
32,37.960000,37.960000,11.820000
33,39.160000,39.160000,11.820000
34,37.720000,37.720000,11.820000
35,41.880000,41.880000,11.820000
36,42.560000,42.560000,11.820000
37,43.360000,43.360000,11.820000
38,42.280000,42.280000,11.820000
39,36.680000,40.980000,11.800000
40,43.200000,43.200000,11.800000
41,34.480000,44.060000,11.820000
42,29.440000,33.680000,11.800000
43,38.840000,42.700000,11.860000
44,32.020000,42.320000,11.800000
45,35.320000,39.480000,11.820000
46,35.640000,35.640000,11.820000
47,44.040000,44.040000,11.820000
48,35.860000,38.420000,11.820000
49,38.820000,40.320000,11.780000
50,34.280000,34.480000,11.760000
51,44.880000,44.880000,11.760000
52,44.040000,46.660000,11.780000
53,37.760000,38.720000,11.820000
54,37.080000,40.960000,11.780000
55,38.500000,38.500000,11.780000
56,31.080000,44.000000,11.760000
57,45.060000,45.060000,11.760000
58,40.900000,40.900000,11.760000
59,36.640000,36.640000,11.760000
60,39.660000,39.660000,11.760000
61,35.320000,35.320000,11.760000
62,40.600000,41.920000,11.740000
63,45.620000,45.620000,11.740000
64,33.740000,35.380000,11.740000
65,42.820000,42.820000,11.740000
66,42.500000,42.500000,11.740000
67,35.700000,47.180000,11.760000
68,41.860000,43.980000,11.780000
69,36.120000,42.280000,11.840000
70,32.660000,44.860000,11.840000
71,33.520000,33.520000,11.840000
72,35.580000,38.340000,11.880000
73,44.060000,44.060000,11.880000
74,41.480000,42.500000,11.840000
75,42.580000,42.580000,11.840000
76,39.560000,40.620000,11.900000
77,41.880000,41.880000,11.900000
78,40.600000,40.600000,11.900000
79,37.540000,37.540000,11.900000
80,40.720000,40.720000,11.900000
81,39.920000,42.560000,11.960000
82,38.880000,40.940000,11.980000
83,33.700000,35.940000,11.980000
84,36.240000,39.180000,12.000000
85,33.940000,35.720000,12.000000
86,38.140000,44.140000,11.980000
87,35.400000,41.840000,12.020000
88,34.080000,36.480000,12.040000
89,35.120000,39.020000,12.040000
90,35.420000,36.520000,11.980000
91,41.600000,41.600000,11.980000
92,38.800000,38.800000,11.980000
93,33.920000,38.340000,11.980000
94,44.420000,44.420000,11.980000
95,38.080000,38.080000,11.980000
96,36.580000,37.980000,12.000000
97,37.880000,37.880000,12.000000
98,38.580000,38.580000,12.000000
99,36.940000,37.820000,12.040000
100,40.100000,40.100000,12.040000
101,31.420000,33.680000,12.060000
102,47.040000,47.040000,12.060000
103,33.720000,40.780000,12.040000
104,43.260000,43.260000,12.040000
105,38.360000,38.960000,12.040000
106,31.600000,41.140000,12.040000
107,37.160000,41.500000,12.020000
108,39.520000,42.360000,12.000000
109,43.940000,43.940000,12.000000
110,44.460000,44.460000,12.000000
111,38.140000,38.140000,12.000000
112,47.500000,47.500000,12.000000
113,43.440000,43.440000,12.000000
114,40.620000,40.620000,12.000000
115,36.200000,39.400000,12.060000
116,41.900000,41.900000,12.060000
117,37.100000,39.280000,12.020000
118,43.380000,43.380000,12.020000
119,44.800000,44.800000,12.020000
120,41.380000,44.800000,12.020000
121,33.960000,41.520000,12.020000
122,42.380000,42.380000,12.020000
123,35.260000,35.260000,12.020000
124,38.600000,38.600000,12.020000
