generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,30.280001,5.020000,0.111554,0.239417,0.173973
500,27.820000,9.940000,0.032193,0.124779,0.402591
1000,28.900000,11.620000,0.017212,0.107855,0.463946
1500,21.200001,11.820000,0.006768,0.107796,0.470527
2000,30.980000,12.320000,0.003247,0.100569,0.502910
2500,35.759998,12.120000,0.003300,0.098818,0.496045
3000,25.740000,11.700000,0.003419,0.099942,0.492398
3500,41.220001,12.640000,0.003165,0.100107,0.513075
4000,32.779999,12.660000,0.003160,0.083353,0.513596
4500,33.619999,12.180000,0.000000,0.105426,0.496794
5000,26.360001,11.820000,0.000000,0.089057,0.483036
