generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,21.440001,24.040000,0.472546,0.083300,0.747681
500,29.000000,19.400000,0.364948,0.096611,0.649214
1000,32.180000,17.440000,0.275229,0.097649,0.611483
1500,42.400002,16.060000,0.244085,0.106168,0.570530
2000,31.299999,14.900000,0.182550,0.105746,0.550563
2500,21.959999,13.700000,0.113869,0.104443,0.522976
3000,39.220001,12.940000,0.086553,0.111220,0.500067
3500,26.740000,13.400000,0.047761,0.106353,0.534762
4000,37.820000,13.080000,0.045872,0.114110,0.516088
4500,43.919998,13.080000,0.045872,0.107439,0.511807
5000,38.320000,13.020000,0.046083,0.107125,0.513877
