generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,45.500000,14.680000,0.294278,0.119510,0.507578
500,42.099998,14.340000,0.198047,0.113477,0.529282
1000,37.459999,13.680000,0.134503,0.106835,0.515663
1500,40.599998,13.840000,0.092486,0.107511,0.539940
2000,43.860001,13.280000,0.054217,0.100694,0.525037
2500,36.860001,13.000000,0.040000,0.104759,0.524028
3000,43.980000,12.500000,0.025600,0.104966,0.504863
3500,37.560001,12.300000,0.019512,0.104094,0.495758
4000,38.040001,12.840000,0.009346,0.097346,0.529652
4500,30.360001,12.200000,0.003279,0.107065,0.496650
5000,39.360001,12.500000,0.003200,0.094738,0.507786
